日期,标题,链接,浏览次数
2019-11-11,北师大本科生团队BNU-China再获iGEM金奖并入围最佳单项奖提名,http://news.bnu.edu.cn/zx/ttgz/113458.htm,1252
2019-11-08,程建平、董奇一行赴昌平区委区政府调研交流,http://news.bnu.edu.cn/zx/ttgz/113225.htm,902
2019-11-08,程建平讲授“不忘初心、牢记使命” 主题教育专题党课,http://news.bnu.edu.cn/zx/ttgz/113222.htm,561
2019-11-08,北师大党委理论学习中心组专题学习中国共产党第十九届中央委员会第四次全体会议精神,http://news.bnu.edu.cn/zx/ttgz/113194.htm,519
2019-11-07,一图读懂《中共中央关于坚持和完善中国特色社会主义制度 推进国家治理体系和治理能力现代化若干重大问题的决定》,https://open.work.weixin.qq.com/wwopen/mpnews?mixuin=aBAGBgAABwA23JmHAAAUAA&mfid=WW0307-JTAD8wAABwBFUAvl2NDIuAJQnea3b&idx=0&sn=6e7001e3d7feeb8e4524b5ae5098da95,1
2019-11-06,北师大领导班子召开“不忘初心、牢记使命”主题教育调研成果交流会,http://news.bnu.edu.cn/zx/ttgz/113106.htm,445
2019-11-05,【新华社】北京师范大学教授解读十九届四中全会公报：推进国家治理现代化的新思路,http://news.bnu.edu.cn/zx/ttgz/113014.htm,941
2019-11-04,北京师范大学举办第二届教材高峰论坛,http://news.bnu.edu.cn/zx/ttgz/113035.htm,1319
2019-11-04,北京师范大学托育服务发展论坛在北京会议中心举办,http://news.bnu.edu.cn/zx/ttgz/113012.htm,1878
2019-11-04,【人民日报】瞿林东：探索史学历史 促进史学发展（构建中国特色哲学社会科学） ——新中国70年史学史研究的繁荣发展,http://news.bnu.edu.cn/zx/ttgz/112955.htm,402
2019-11-02,【中国教育报】韩震：用好教材这一思政教育“地图”,http://news.bnu.edu.cn/zx/ttgz/112915.htm,474
2019-11-01,北师大召开文理科学报编委会换届会议暨学校一流期刊建设座谈会,http://news.bnu.edu.cn/zx/ttgz/112894.htm,1615
2019-10-31,北师大领导班子召开对照党章党规找差距专题会议,http://news.bnu.edu.cn/zx/ttgz/112874.htm,920
2019-10-31,班主任程建平老师参加北师大教育学部2017级教育1班主题党团日活动,https://open.work.weixin.qq.com/wwopen/mpnews?mixuin=aBAGBgAABwA23JmHAAAUAA&mfid=WW0331-Sl2fMAAABwAqPZcmb6Qtew43aEe3a&idx=0&sn=8354dfeabaa1f06edbff7d9a598ecd48,2
2019-10-31,北师大举办哲学系成立40周年暨“思想与时代：新中国哲学70年”学术研讨会,http://news.bnu.edu.cn/zx/ttgz/112815.htm,761
2019-10-30,2019软科中国最好学科排名公布！北师大3学科位列全国第一！,http://news.bnu.edu.cn/zx/ttgz/112799.htm,4133
2019-10-28,北师大举行“不忘初心、牢记使命”主题教育专题活动暨新中国成立70周年庆祝活动总结表彰大会,http://news.bnu.edu.cn/zx/ttgz/112701.htm,1840
2019-10-28,北师大党委理论学习中心组深入开展“全面从严治党、坚守廉洁自律”主题集中学习研讨,http://news.bnu.edu.cn/zx/ttgz/112678.htm,839
2019-10-24,北师大举行第四届“明远教育奖”颁奖典礼,http://news.bnu.edu.cn/zx/ttgz/112515.htm,1290
2019-10-24,董奇在部分职能部门中开展 “不忘初心、牢记使命”主题教育调研,http://news.bnu.edu.cn/zx/ttgz/112493.htm,531
2019-10-23,程建平赴资产经营公司开展“不忘初心、牢记使命”主题教育调研,http://news.bnu.edu.cn/zx/ttgz/112462.htm,890
2019-10-23,董奇赴文学院与学部院系代表开展 “不忘初心、牢记使命”主题教育调研,http://news.bnu.edu.cn/zx/ttgz/112413.htm,463
2019-10-22,【光明日报】张琦、孔梅：不同地区脱贫攻坚冲刺阶段的工作重点,http://news.bnu.edu.cn/zx/ttgz/112404.htm,264
2019-10-22,北师大党委理论学习中心组围绕“全面从严治党、坚守廉洁自律”主题开展专题学习研讨,http://news.bnu.edu.cn/zx/ttgz/112403.htm,1444
2019-10-22,北师大党委理论学习中心组深入学习研讨习近平总书记关于教育的重要论述,http://news.bnu.edu.cn/zx/ttgz/112396.htm,525
2019-10-22,北京师范大学2019级学生军训结训典礼举行,http://news.bnu.edu.cn/zx/ttgz/112389.htm,1324
2019-10-22,【光明日报】女排精神为何历久弥新 ——专家学者谈学习和发扬新时代女排精神,http://news.bnu.edu.cn/zx/ttgz/112382.htm,309
2019-10-22,北师大举办高校立德树人落实机制及评估监测咨询会,http://news.bnu.edu.cn/zx/ttgz/112397.htm,521
2019-10-21,北京师范大学·珠海众创空间正式启动,http://news.bnu.edu.cn/zx/ttgz/112375.htm,308
2019-10-21,第十一届国际研究生奖学金信息说明会在北师大举办,http://news.bnu.edu.cn/zx/ttgz/112363.htm,1203
2019-10-20,北师大举办新时代的中国女排精神高端论坛,http://news.bnu.edu.cn/zx/ttgz/112321.htm,2314
2019-10-19,程建平赴中国扶贫研究院开展“不忘初心、牢记使命”主题教育调研,http://news.bnu.edu.cn/zx/ttgz/112313.htm,1144
2019-10-18,【学习时报】董奇：加快制定基础教育质量评价标准,http://news.bnu.edu.cn/zx/ttgz/112279.htm,2865
2019-10-15,中央第一指导组调研马克思主义学院建设情况,http://news.bnu.edu.cn/zx/ttgz/112164.htm,1193
2019-10-15,北师大新增3个博士后科研流动站,http://news.bnu.edu.cn/zx/ttgz/112162.htm,1827
2019-10-15,礼赞七十年 同心齐筑梦——北师大珠海园区举行庆祝新中国成立70周年暨2019年迎新晚会,http://news.bnu.edu.cn/zx/ttgz/112154.htm,1009
2019-10-14,校领导深入一线开展“不忘初心、牢记使命”主题教育调研,http://news.bnu.edu.cn/zx/ttgz/112108.htm,956
2019-10-14,“人民教育家”高铭暄教授刑法教育思想座谈会举办,http://news.bnu.edu.cn/zx/ttgz/112133.htm,286
2019-10-14,《听林崇德老师讲基础教育》成果发布暨基础教育研讨会举办,http://news.bnu.edu.cn/zx/ttgz/112095.htm,921
2019-10-14,北师大举行2019年新教师入职培训,http://news.bnu.edu.cn/zx/ttgz/112110.htm,439
2019-10-12,北师大党委理论学习中心组专题学习研讨习近平总书记关于教育的重要论述,http://news.bnu.edu.cn/zx/ttgz/112047.htm,576
2019-10-12,董奇参加财经审计内控联合党支部“我的初心与使命”主题党日活动,http://news.bnu.edu.cn/zx/ttgz/112085.htm,265
2019-10-12,北师大举行2019年“仲英青年学者”聘任仪式,http://news.bnu.edu.cn/zx/ttgz/112038.htm,860
2019-10-12,北师大召开2019年专业技术高级岗位聘任大会,http://news.bnu.edu.cn/zx/ttgz/112037.htm,2134
2019-10-11,北师大召开“不忘初心、牢记使命”主题教育学部院系工作推进会,http://news.bnu.edu.cn/zx/ttgz/112004.htm,644
2019-10-11,中共中央追授黄文秀同志“全国优秀共产党员”称号,http://news.bnu.edu.cn/zx/ttgz/111993.htm,1674
2019-10-10,北师大党委理论中心组专题学习《党政领导干部考核工作条例》,http://news.bnu.edu.cn/zx/ttgz/111977.htm,277
2019-10-09,【参考消息】胡必亮：“一带一路”给全球带来发展新机遇,http://news.bnu.edu.cn/zx/ttgz/111960.htm,805
2019-10-09,北师大党委理论学习中心组专题学习习近平总书记在庆祝中华人民共和国成立70周年大会上的重要讲话精神,http://news.bnu.edu.cn/zx/ttgz/111939.htm,752
2019-10-08,擦亮北师大金字招牌！“清尘计划”维权打假多战告捷！,https://mp.weixin.qq.com/s/EPo3wywOnt_ntVTZczMuDA,2
2019-10-08,北京师范大学举行庆祝新中国成立70周年活动誓师动员大会,http://news.bnu.edu.cn/zx/ttgz/111918.htm,462
2019-10-07,“不忘初心、牢记使命”——北京师范大学领导班子赴高新企业和兄弟院校学习调研,https://open.work.weixin.qq.com/wwopen/mpnews?mixuin=aBAGBgAABwA23JmHAAAUAA&mfid=WW0307-0cR_JwAABwCxpHYxkRHsbAe2R7W3a&idx=0&sn=68568aba9b04a697cb3e75ae456d513a,1
2019-09-29,北京师范大学党委理论学习中心组集中学习研讨习近平总书记关于“不忘初心、牢记使命”主题教育重要讲话和加强党的政治建设重要论述精神,http://news.bnu.edu.cn/zx/ttgz/111815.htm,1298
2019-09-28,董奇一行出席联合国神经科学与未来教育及学习高级别论坛并访问多所韩国合作机构,http://news.bnu.edu.cn/zx/ttgz/111801.htm,1800
2019-09-27,程建平参加机关党委党校办支部“不忘初心、牢记使命”主题教育动员会,http://news.bnu.edu.cn/zx/ttgz/111800.htm,2030
2019-09-26,北师大资深教授刘家和先生为历史学院励耘书院本科生讲授经典,http://news.bnu.edu.cn/zx/ttgz/111761.htm,1852
2019-09-26,【光明日报】瞿林东：成就、反思与新的前景 ——新中国史学70年发展大势,http://news.bnu.edu.cn/zx/ttgz/111728.htm,401
2019-09-26,听国庆群众游行总导演、北师大艺术与传媒学院副院长肖向荣揭秘十一看点！,https://mp.weixin.qq.com/s/VwHapyI3LqCm7IIUY9mi1Q,1
